Dma,End,Complemento,Bairro,Informante,Telefone,Latitude,Longitude,Area Privativa,Area Terreno,Oferta/Trans,Idade,Data,Conservação,Padrão,Portaria,Quartos,WCS,Renda,Valor Total,Piscina Colet,Piscina Priv,Esporte,HomeClub,Vagas,Valor Unitario,Municipio,Regional,Fração,Empresa
2021-04-19 06:39:44.146629,"Rua Milton Figueiredo, 475 - Alto da Estrela, Horizonte - CE",, Alto da Estrela,Viva Real,https://www.vivareal.com.br/venda/ceara/horizonte/casa_residencial,,,72,,2,,256,,4,,2,2,1000,125000,,,,, 2 ,1736.111111111111,,,,
2021-04-19 06:39:44.146629,Eusébio - CE,, CE,Viva Real,https://www.vivareal.com.br/venda/ceara/horizonte/casa_residencial,,,100,,2,,256,,4,,3,3,1000,229040,,,,, 2 ,2290.4,,,,
2021-04-19 06:39:44.146629,"Planalto Horizonte, Horizonte - CE",,Planalto Horizonte,Viva Real,https://www.vivareal.com.br/venda/ceara/horizonte/casa_residencial,,,88,,2,,256,,4,,2,1,1000,145000,,,,, 4 ,1647.7272727272727,,,,
2021-04-19 06:39:44.146629,"Rua Professora Zuleide Bezerra de Carvalho, 10890 - Diadema, Horizonte - CE",, Diadema,Viva Real,https://www.vivareal.com.br/venda/ceara/horizonte/casa_residencial,,,81,,2,,256,,4,,2,2,1000,108000,,,,, ,1333.3333333333333,,,,
2021-04-19 06:39:44.146629,"Rua Professora Zuleide Bezerra de Carvalho, 10890 - Diadema, Horizonte - CE",, Diadema,Viva Real,https://www.vivareal.com.br/venda/ceara/horizonte/casa_residencial,,,81,,2,,256,,4,,2,2,1000,108000,,,,, ,1333.3333333333333,,,,
2021-04-19 06:39:44.146629,"Rua Manoel Feliciano da Silva - Alto da Estrela, Horizonte - CE",, Alto da Estrela,Viva Real,https://www.vivareal.com.br/venda/ceara/horizonte/casa_residencial,,,89,,2,,256,,4,,2,1,1000,105000,,,,, 2 ,1179.7752808988764,,,,
2021-04-19 06:39:44.146629,"Alto da Estrela, Horizonte - CE",,Alto da Estrela,Viva Real,https://www.vivareal.com.br/venda/ceara/horizonte/casa_residencial,,,72,,2,,256,,4,,2,1,1000,105000,,,,, 2 ,1458.3333333333333,,,,
2021-04-19 06:39:44.146629,"Rua Regina de Oliveira Lima, 82 - Planalto Horizonte, Horizonte - CE",, Planalto Horizonte,Viva Real,https://www.vivareal.com.br/venda/ceara/horizonte/casa_residencial,,,140,,2,,256,,4,,3,3,1000,180000,,,,, 3 ,1285.7142857142858,,,,
2021-04-19 06:39:44.146629,Eusébio - CE,, CE,Viva Real,https://www.vivareal.com.br/venda/ceara/horizonte/casa_residencial,,,100,,2,,256,,4,,3,3,1000,309900,,,,, 2 ,3099.0,,,,
2021-04-19 06:39:44.146629,"Buenos Aires, Horizonte - CE",,Buenos Aires,Viva Real,https://www.vivareal.com.br/venda/ceara/horizonte/casa_residencial,,,72,,2,,256,,4,,2,2,1000,120000,,,,, 2 ,1666.6666666666667,,,,
